State,Id,type,flux_calue,flux_std,lb,ub,,
metabolite,PYR,fixed,10,1,0.001,100,,
metabolite,PYRB,fixed,10,1,0.001,100,,
metabolite,PYRBT,fixed,10,1,0.001,100,,
metabolite,SER,fixed,10,1,0.001,100,,
metabolite,S7P,fixed,10,1,0.001,100,,
metabolite,SHKM,fixed,10,1,0.001,100,,
metabolite,SUC,fixed,10,1,0.001,100,,
metabolite,THR,fixed,10,1,0.001,100,,
metabolite,TREEX,fixed,10,1,0.001,100,,
metabolite,TREM,fixed,10,1,0.001,100,,
metabolite,TRPX,fixed,10,1,0.001,100,,
metabolite,TYRX,fixed,10,1,0.001,100,,
metabolite,VALX,fixed,10,1,0.001,100,,
