State,Id,type,flux_calue,flux_std,lb,ub,
reaction,r43,free,1,1,0.0001,1000,AcCOA + AcCOA --> AcAcCOA
reaction,r44,free,1,1,0.0001,1000,AcAcCOA + Acetate --> AcAc + AcCOA
reaction,r45,free,1,1,0.0001,1000,AcAc --> Acetone + CO2in
reaction,r46,free,1,1,0.0001,1000,Acetone --> IPA
reaction,r47,fitting,1.481084962,0.961209141,0.0001,1000,Acetone --> Acetoneex
reaction,r48,fitting,13.34139088,1.505828596,0,1000,IPA --> IPAex
reaction,r49,free,1,1,0.0001,1000,AcCOA --> Acetate
reaction,r50,fitting,36.81200288,2.817618538,0.0001,1000,Acetate --> Acetateex
reaction,r51,free,1,1,0.0001,1000,Pyr --> AcCOA + Formate
reaction,r52,fixed,0.000001,1,0,1000,Formate --> Formateex
reaction,r53,fixed,0.000001,1,0,1000,Suc --> Succinateex
reaction,r54,fixed,0.000001,1,0,1000,IsoCit --> Citrateex
reaction,r55,fixed,0.000001,1,0,1000,aKG --> a-ketoglutarateex
reaction,r56,free,1,1,0.0001,1000,SubsCO2 --> CO2in
reaction,r57,free,1,1,0.0001,1000,CO2in --> CO2ex
reaction,r58,pseudo,1,1,0.0001,1000,Pyr --> Ala
reaction,r59,pseudo,1,1,0.0001,1000,Oxa --> Asp
reaction,r60,pseudo,1,1,0.0001,1000,Oxa --> Thr
reaction,r61,pseudo,1,1,0.0001,1000,aKG --> Glu
reaction,r62,pseudo,1,1,0.0001,1000,E4P + PEP + PEP --> Phe
reaction,r63,pseudo,1,1,0.0001,1000,E4P + PEP + PEP --> Tyr
reaction,r64,pseudo,1,1,0.0001,1000,Oxa + Pyr --> Ile
reaction,r65,pseudo,1,1,0.0001,1000,AcCOA + Pyr + Pyr --> Leu
reaction,r66,pseudo,1,1,0.0001,1000,Pyr + Pyr --> Val
reaction,r67,free,1,1,0.0001,1000,PGA --> Ser
reaction,r68,free,1,1,0.0001,1000,Ser --> Gly + MEETHF
reaction,r69,free,1,1,0.0001,1000,Gly + MEETHF --> Ser
reaction,r70,free,1,1,0.0001,1000,Gly --> CO2in + MEETHF
reaction,r71,free,1,1,0.0001,1000,CO2in + MEETHF --> Gly
reaction,r72,fixed,0.950214672,1,0.0001,1000,G6P --> Biomass
reaction,r73,fixed,0.328635221,1,0.0001,1000,F6P --> Biomass
reaction,r74,fixed,0.597939964,1,0.0001,1000,DHAP --> Biomass
reaction,r75,fixed,2.618884339,1,0.0001,1000,PGA --> Biomass
reaction,r76,fixed,1.603776958,1,0.0001,1000,Ser --> Biomass
reaction,r77,fixed,2.697682629,1,0.0001,1000,Gly --> Biomass
reaction,r78,fixed,3.1472964,1,0.0001,1000,MEETHF --> Biomass
reaction,r79,fixed,3.33316766,1,0.0001,1000,PEP --> Biomass
reaction,r80,fixed,13.13150324,1,0.0001,1000,Pyr --> Biomass
reaction,r81,fixed,13.57184663,1,0.0001,1000,AcCOA --> Biomass
reaction,r82,fixed,5.000910289,1,0.0001,1000,aKG --> Biomass
reaction,r83,fixed,8.281700263,1,0.0001,1000,Oxa --> Biomass
reaction,r84,fixed,4.161013223,1,0.0001,1000,R5P --> Biomass
reaction,r85,fixed,1.673304861,1,0.0001,1000,E4P --> Biomass
reaction,r86,fixed,10,1,0.0001,1000,Ala --> Alaex
reaction,r87,fixed,10,1,0.0001,1000,Asp --> Aspex
reaction,r88,fixed,10,1,0.0001,1000,Thr --> Threx
reaction,r89,fixed,10,1,0.0001,1000,Glu --> Gluex
reaction,r90,fixed,10,1,0.0001,1000,Phe --> Pheex
reaction,r91,fixed,10,1,0.0001,1000,Tyr --> Tyrex
reaction,r92,fixed,10,1,0.0001,1000,Ile --> Ileex
reaction,r93,fixed,10,1,0.0001,1000,Leu --> Leuex
reaction,r94,fixed,10,1,0.0001,1000,Val --> Valex
reaction,r95,free,1,1,0.0001,1000,SubsAla --> Ala
reaction,r96,free,1,1,0.0001,1000,SubsAsp --> Asp
reaction,r97,free,1,1,0.0001,1000,SubsThr --> Thr
reaction,r98,free,1,1,0.0001,1000,SubsGlu --> Glu
reaction,r99,free,1,1,0.0001,1000,SubsPhe --> Phe
reaction,r100,free,1,1,0.0001,1000,SubsTyr --> Tyr
reaction,r101,free,1,1,0.0001,1000,SubsIle --> Ile
reaction,r102,free,1,1,0.0001,1000,SubsLeu --> Leu
reaction,r103,free,1,1,0.0001,1000,SubsVal --> Val
reversible,PGI,free,1,1,-300,300,
reversible,FBA,free,1,1,-300,300,
reversible,TPI,free,1,1,-300,300,
reversible,GAPDH,free,1,1,-300,300,
reversible,PEPH,free,1,1,-300,300,
reversible,SDH,free,1,1,-300,300,
reversible,MDH,free,1,1,-300,300,
reversible,RPI,free,1,1,-300,300,
reversible,RBE,free,1,1,-300,300,
reversible,TKT1,free,1,1,-300,300,
reversible,TAL,free,1,1,-300,300,
reversible,TKT2,free,1,1,-300,300,
reversible,FH,free,1,1,-300,300,
metabolite,m6PG,fixed,10,1,0.001,100,
metabolite,AcAc,fixed,10,1,0.001,100,
metabolite,AcAcCOA,fixed,10,1,0.001,100,
metabolite,AcCOA,fixed,10,1,0.001,100,
metabolite,Acetate,fixed,10,1,0.001,100,
metabolite,Acetateex,fixed,10,1,0.001,100,
metabolite,Acetone,fixed,10,1,0.001,100,
metabolite,Acetoneex,fixed,10,1,0.001,100,
metabolite,a-ketoglutarateex,fixed,10,1,0.001,100,
metabolite,aKG,fixed,10,1,0.001,100,
metabolite,Ala,fixed,10,1,0.001,100,
metabolite,Asp,fixed,10,1,0.001,100,
metabolite,Biomass,fixed,10,1,0.001,100,
metabolite,Citrateex,fixed,10,1,0.001,100,
metabolite,CO2ex,fixed,10,1,0.001,100,
metabolite,CO2in,fixed,10,1,0.001,100,
metabolite,DHAP,fixed,10,1,0.001,100,
metabolite,E4P,fixed,10,1,0.001,100,
metabolite,F6P,fixed,10,1,0.001,100,
metabolite,FBP,fixed,10,1,0.001,100,
metabolite,Formate,fixed,10,1,0.001,100,
metabolite,Formateex,fixed,10,1,0.001,100,
metabolite,G6P,fixed,10,1,0.001,100,
metabolite,GAP,fixed,10,1,0.001,100,
metabolite,Glu,fixed,10,1,0.001,100,
metabolite,Gly,fixed,10,1,0.001,100,
metabolite,Ile,fixed,10,1,0.001,100,
metabolite,IPA,fixed,10,1,0.001,100,
metabolite,IPAex,fixed,10,1,0.001,100,
metabolite,IsoCit,fixed,10,1,0.001,100,
metabolite,Leu,fixed,10,1,0.001,100,
metabolite,Mal,fixed,10,1,0.001,100,
metabolite,MEETHF,fixed,10,1,0.001,100,
metabolite,Oxa,fixed,10,1,0.001,100,
metabolite,PEP,fixed,10,1,0.001,100,
metabolite,PGA,fixed,10,1,0.001,100,
metabolite,Phe,fixed,10,1,0.001,100,
metabolite,Pyr,fixed,10,1,0.001,100,
metabolite,R5P,fixed,10,1,0.001,100,
metabolite,Ru5P,fixed,10,1,0.001,100,
metabolite,S7P,fixed,10,1,0.001,100,
metabolite,Ser,fixed,10,1,0.001,100,
metabolite,SubsCO2,fixed,10,1,0.001,100,
metabolite,SubsGlc,fixed,10,1,0.001,100,
metabolite,Succinateex,fixed,10,1,0.001,100,
metabolite,Fum,fixed,10,1,0.001,100,
metabolite,Suc,fixed,10,1,0.001,100,
metabolite,Thr,fixed,10,1,0.001,100,
metabolite,Tyr,fixed,10,1,0.001,100,
metabolite,Val,fixed,10,1,0.001,100,
metabolite,Xu5P,fixed,10,1,0.001,100,
